Rank,Player,Cl,Ht,Pos,G,AST,APG,Year
1,"Tyler Kolek, Marquette (Big East)",Sr.,6-3,G,31,239,7.7,2019
2,"Braden Smith, Purdue (Big Ten)",So.,6-0,G,39,292,7.5,2019
3,"Elijah Hawkins, Minnesota (Big Ten)",Jr.,5-11,G,33,247,7.5,2019
4,"Savion Lewis, Quinnipiac (MAAC)",Sr.,6-1,G,34,248,7.3,2019
5,"Symir Torrence, Binghamton (America East)",Sr.,6-3,G,24,173,7.2,2019
6,"Deivon Smith, Utah (Pac-12)",Sr.,6-1,G,28,198,7.1,2019
7,"Ryan Nembhard, Gonzaga (WCC)",Jr.,6-0,G,35,243,6.9,2019
8,"Isaiah Stevens, Colorado St. (Mountain West)",Sr.,6-0,G,36,245,6.8,2019
9,"RayJ Dennis, Baylor (Big 12)",Sr.,6-2,G,35,236,6.7,2019
10,"Roscoe Eastmond, Southeastern La. (Southland)",Sr.,5-9,G,32,209,6.5,2019
11,"Darius Brown II, Utah St. (Mountain West)",Sr.,6-2,G,35,228,6.5,2019
12,"Dajuan Harris Jr., Kansas (Big 12)",Jr.,6-2,G,34,221,6.5,2019
13,"Pierre Crockrell II, UC Irvine (Big West)",Sr.,6-0,G,34,217,6.4,2019
14,"Jaquan Carlos, Hofstra (CAA)",Jr.,6-0,G,33,208,6.3,2019
15,"Jamal Shead, Houston (Big 12)",Sr.,6-1,G,37,233,6.3,2019
16,"Terrell Burden, Kennesaw St. (ASUN)",Sr.,5-10,G,31,195,6.3,2019
17,"Reece Beekman, Virginia (ACC)",Sr.,6-3,G,34,212,6.2,2019
18,"Drew Thelwell, Morehead St. (OVC)",Jr.,6-3,G,34,211,6.2,2019
19,"Tristen Newton, UConn (Big East)",Sr.,6-5,G,40,248,6.2,2019
20,"Xavier Johnson, Southern Ill. (MVC)",Sr.,6-1,G,32,196,6.1,2019
21,"Sahvir Wheeler, Washington (Pac-12)",Sr.,5-9,G,31,188,6.1,2019
22,"Zakai Zeigler, Tennessee (SEC)",Jr.,5-9,G,36,218,6.1,2019
23,"Isaiah Hill, Fresno St. (Mountain West)",Sr.,6-0,G,32,193,6,2019
24,"Ace Baldwin Jr., Penn St. (Big Ten)",Sr.,6-0,G,33,199,6,2019
25,"Stephan Swenson, Stetson (ASUN)",Sr.,6-2,G,35,203,5.8,2019
26,"Caleb Fields, Arkansas St. (Sun Belt)",Sr.,6-0,G,35,202,5.8,2019
27,"Kobe Langley, UNC Greensboro (SoCon)",Sr.,6-1,G,32,181,5.7,2019
28,"Braeden Smith, Colgate (Patriot)",So.,6-0,G,35,196,5.6,2019
29,"Vonterius Woolbright, Western Caro. (SoCon)",Sr.,6-6,G,32,179,5.6,2019
30,"Alvaro Cardenas, San Jose St. (Mountain West)",Jr.,6-1,G,31,171,5.5,2019
31,"Eric Gaines, UAB (AAC)",Jr.,6-2,G,35,191,5.5,2019
32,"Donovan Dent, New Mexico (Mountain West)",So.,6-2,G,35,190,5.4,2019
33,"Daniss Jenkins, St. John's (NY) (Big East)",Sr.,6-3,G,33,179,5.4,2019
34,"Christian Tucker, UTSA (AAC)",Jr.,6-3,G,32,173,5.4,2019
35,"Augustas Marciulionis, Saint Mary's (CA) (WCC)",Jr.,6-4,G,34,181,5.3,2019
