Rank,Player,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,Year
1,"Chris Clemons, Campbell (Big South)",Sr.,5-9,G,33,304,139,246,993,30.1,2019
2,"Justin Wright-Foreman, Hofstra (CAA)",Sr.,6-2,G,35,330,110,178,948,27.1,2019
3,"Antoine Davis, Detroit Mercy (Horizon)",Fr.,6-1,G,30,263,132,126,784,26.1,2019
4,"Mike Daum, South Dakota St. (Summit League)",Sr.,6-9,F,33,286,67,196,835,25.3,2019
5,"Markus Howard, Marquette (Big East)",Jr.,5-11,G,34,252,120,227,851,25,2019
6,"Lamine Diane, CSUN (Big West)",Fr.,6-7,F,33,340,7,131,818,24.8,2019
7,"Ja Morant, Murray St. (OVC)",So.,6-3,G,33,265,57,221,808,24.5,2019
8,"Jermaine Marrow, Hampton (Big South)",Jr.,6-0,G,35,274,88,218,854,24.4,2019
9,"Carsen Edwards, Purdue (Big Ten)",Jr.,6-0,G,36,277,135,185,874,24.3,2019
10,"Nick Mayo, Eastern Ky. (OVC)",Sr.,6-9,F,31,245,54,190,734,23.7,2019
11,"Jordan Davis, Northern Colo. (Big Sky)",Sr.,6-2,G,32,256,54,186,752,23.5,2019
12,"Cameron Young, Quinnipiac (MAAC)",Sr.,6-6,G,31,222,104,180,728,23.5,2019
13,"Myles Powell, Seton Hall (Big East)",Jr.,6-2,G,34,252,107,173,784,23.1,2019
14,"Jhivvan Jackson, UTSA (CUSA)",So.,6-0,G,29,222,104,115,663,22.9,2019
15,"RJ Barrett, Duke (ACC)",Fr.,6-7,F,38,319,73,149,860,22.6,2019
16,"Zion Williamson, Duke (ACC)",Fr.,6-7,F,33,296,24,130,746,22.6,2019
17,"Ty Cockfield, Arkansas St. (Sun Belt)",Sr.,6-1,G,32,237,69,173,716,22.4,2019
18,"Matt Morgan, Cornell (Ivy League)",Sr.,6-3,G,31,215,103,154,687,22.2,2019
19,"Justin James, Wyoming (Mountain West)",Sr.,6-7,G,32,228,50,200,706,22.1,2019
20,"Grant Riller, Col. of Charleston (CAA)",Jr.,6-3,G,33,264,46,150,724,21.9,2019
21,"Jon Davis, Charlotte (CUSA)",Sr.,6-3,G,29,191,73,175,630,21.7,2019
22,"Robert Franks, Washington St. (Pac-12)",Sr.,6-9,F,27,201,75,106,583,21.6,2019
23,"Jaylin Walker, Kent St. (MAC)",Sr.,6-1,G,27,181,93,127,582,21.6,2019
24,"Bubba Parham, VMI (SoCon)",So.,5-11,G,32,210,116,150,686,21.4,2019
25,"RJ Cole, Howard (MEAC)",So.,6-1,G,34,218,84,208,728,21.4,2019
26,"Jerrick Harding, Weber St. (Big Sky)",Jr.,6-1,G,30,212,64,154,642,21.4,2019
27,"Andrew Kostecka, Loyola Maryland (Patriot)",Jr.,6-4,G,32,241,48,152,682,21.3,2019
28,"Dylan Windler, Belmont (OVC)",Sr.,6-8,F,33,243,100,116,702,21.3,2019
29,"Yoeli Childs, BYU (WCC)",Jr.,6-8,F,32,258,32,131,679,21.2,2019
30,"Anthony Lamb, Vermont (America East)",Jr.,6-6,F,32,242,50,144,678,21.2,2019
31,"Jordan Ford, Saint Mary's (CA) (WCC)",Jr.,6-2,G,34,255,70,136,716,21.1,2019
32,"Daishon Smith, ULM (Sun Belt)",Sr.,6-1,G,32,195,110,173,673,21,2019
33,"Nathan Knight, William & Mary (CAA)",Jr.,6-10,F,31,236,10,169,651,21,2019
34,"Sam Merrill, Utah St. (Mountain West)",Jr.,6-5,G,35,228,86,189,731,20.9,2019
35,"Martaveous Mcknight, Ark.-Pine Bluff (SWAC)",Sr.,6-4,G,32,226,74,141,667,20.8,2019
36,"Garrison Mathews, Lipscomb (ASUN)",Sr.,6-5,G,36,222,116,190,750,20.8,2019
37,"Tres Tinkle, Oregon St. (Pac-12)",Jr.,6-8,F,30,215,53,141,624,20.8,2019
38,"Jakeenan Gant, Louisiana (Sun Belt)",Sr.,6-8,F,31,246,42,103,637,20.5,2019
39,"Tyler Hall, Montana St. (Big Sky)",Sr.,6-5,G,32,233,116,75,657,20.5,2019
40,"Terry Taylor, Austin Peay (OVC)",So.,0-0,F,33,258,50,109,675,20.5,2019
41,"Eugene German, NIU (MAC)",Jr.,6-0,G,31,228,87,88,631,20.4,2019
42,"Rayjon Tucker, Little Rock (Sun Belt)",Jr.,6-5,G,30,187,72,164,610,20.3,2019
43,"Jon Elmore, Marshall (CUSA)",Sr.,6-3,G,37,234,114,168,750,20.3,2019
44,"Fletcher Magee, Wofford (SoCon)",Sr.,6-4,G,35,225,158,101,709,20.3,2019
45,"Lew Stallworth, The Citadel (SoCon)",Sr.,6-1,G,29,221,36,108,586,20.2,2019
46,"Keaton Wallace, UTSA (CUSA)",So.,6-3,G,32,215,121,95,646,20.2,2019
47,"Max Strus, DePaul (Big East)",Sr.,6-6,G,35,232,113,128,705,20.1,2019
48,"Lamar Stevens, Penn St. (Big Ten)",Jr.,6-8,F,32,230,20,157,637,19.9,2019
49,"Sa'eed Nelson, American (Patriot)",Jr.,6-1,G,30,203,26,163,595,19.8,2019
50,"Shizz Alston, Jr., Temple (AAC)",Sr.,6-4,G,33,207,99,138,651,19.7,2019
51,"Rui Hachimura, Gonzaga (WCC)",Jr.,6-8,F,37,275,15,164,729,19.7,2019
52,"Shamorie Ponds, St. John's (NY) (Big East)",Jr.,6-1,G,33,216,65,153,650,19.7,2019
53,"Jeremiah Martin, Memphis (AAC)",Sr.,6-3,G,36,220,66,202,708,19.7,2019
53,"James Palmer, Nebraska (Big Ten)",Sr.,6-6,G,36,213,67,215,708,19.7,2019
55,"David Jenkins, South Dakota St. (Summit League)",So.,6-2,G,32,205,112,107,629,19.7,2019
56,"John Konchar, Purdue Fort Wayne (Summit League)",Sr.,6-5,G,33,231,53,127,642,19.5,2019
57,"Jahaad Proctor, High Point (Big South)",Jr.,6-3,G,31,210,55,128,603,19.5,2019
58,"Dedric Lawson, Kansas (Big 12)",Jr.,6-9,F,36,249,35,167,700,19.4,2019
59,"Marcquise Reed, Clemson (ACC)",Sr.,6-3,G,31,202,48,150,602,19.4,2019
