Rank,Player,Cl,Ht,Pos,G,REB,RPG,Year
1,"Nico Carvacho, Colorado St. (Mountain West)",Jr.,6-11,C,32,414,12.9,2019
2,"Devontae Cacok, UNCW (CAA)",Sr.,6-7,F,33,406,12.3,2019
3,"Cletrell Pope, Bethune-Cookman (MEAC)",Jr.,6-9,F,31,377,12.2,2019
4,"Mike Daum, South Dakota St. (Summit League)",Sr.,6-9,F,33,385,11.7,2019
5,"John Mooney, Notre Dame (ACC)",Jr.,6-9,F,33,370,11.2,2019
6,"Lamine Diane, CSUN (Big West)",Fr.,6-7,F,33,368,11.2,2019
7,"Jordan Murphy, Minnesota (Big Ten)",Sr.,6-6,F,36,397,11,2019
8,"Jeromy Rodriguez, ETSU (SoCon)",Jr.,6-7,F,33,361,10.9,2019
9,"James Thompson IV, Eastern Mich. (MAC)",Sr.,6-10,C,32,349,10.9,2019
10,"Dylan Windler, Belmont (OVC)",Sr.,6-8,F,33,359,10.9,2019
11,"Bruno Fernando, Maryland (Big Ten)",So.,6-10,F,34,362,10.6,2019
11,"Demajeo Wiggins, Bowling Green (MAC)",Sr.,6-10,F,34,362,10.6,2019
13,"Luke Maye, North Carolina (ACC)",Sr.,6-7,F,36,376,10.4,2019
14,"Zylan Cheatham, Arizona St. (Pac-12)",Jr.,6-8,F,34,351,10.3,2019
15,"Dedric Lawson, Kansas (Big 12)",Jr.,6-9,F,36,371,10.3,2019
16,"Efe Odigie, UTEP (C-USA)",Fr.,6-9,F,25,252,10.1,2019
17,"Ethan Happ, Wisconsin (Big Ten)",Sr.,6-10,F,34,342,10.1,2019
18,"Charles Bassey, Western Ky. (C-USA)",Fr.,6-11,C,34,340,10,2019
19,"Cyril Langevine, Rhode Island (Atlantic 10)",Jr.,6-8,F,33,328,9.9,2019
20,"Tyler Bey, Colorado (Pac-12)",So.,6-7,G,36,356,9.9,2019
21,"Seth Dugan, Western Mich. (MAC)",Sr.,7-0,C,32,316,9.9,2019
22,"Keith Braxton, Saint Francis (PA) (NEC)",Jr.,6-5,G,33,323,9.8,2019
23,"Eric Carter, Delaware (CAA)",Sr.,6-9,F,32,311,9.7,2019
24,"Jason Burnell, Jacksonville St. (OVC)",Sr.,6-7,F,32,309,9.7,2019
24,"Yoeli Childs, BYU (WCC)",Jr.,6-8,F,32,309,9.7,2019
26,"Jordan Caroline, Nevada (Mountain West)",Sr.,6-7,F,33,318,9.6,2019
27,"Alexis Yetna, South Fla. (AAC)",Fr.,6-8,F,36,346,9.6,2019
28,"Ed Polite, Jr., Radford (Big South)",Sr.,6-5,F,33,314,9.5,2019
